track_spotifyID,artist_spotifyID,artist_mbid,artist_name,track_url,track_popularity,track_duration_ms,track_is_local,albumID,album_track_number,album_release_date,album_type
29R1IMTTbDDA3VNlk6UEW5,5vBSrE1xujD2FXYRarbAXc,9f23b7c3-baa6-4e38-b1a9-5c38359ad982,Years & Years,https://open.spotify.com/track/29R1IMTTbDDA3VNlk6UEW5,62,186240,False,7ugwbZf0nbP0s2s3IaiU70,1,2018-11-28,single
2t8yVaLvJ0RenpXUIAC52d,1URnnhqYAYcrqrcwql10ft,37b2cb82-ef79-4d46-a184-a549450aa231,21 Savage,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,80,288624,False,007DWn799UWvfY1wwZeENR,1,2018-12-21,album
7EQpvVujgytLVY8vKiDHAg,66CXWjxzNUsdJxJ2JdwvnR,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,Ariana Grande,https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg,51,267106,False,6sUzNE1SPNLBXBCZs3PIAO,6,2018-02-07,album
7uiBocndm12aKbsdnQ3Scx,7bXgB6jMjp9ATFy66eO08Z,c234fa42-e6a6-443e-937e-2f4b073538a3,Chris Brown,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx,66,187297,False,0JOT3Ff4gJ939hqdeEpsZv,1,2019-01-04,single
285pBltuF7vW8TeWk8hdRR,4MCBfE4596Uoi2O4DtmEMz,4e4ebde4-0c56-4dec-844b-6c73adcdd92d,Juice WRLD,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,88,239835,False,6tkjU4Umpo79wwkgPMV3nZ,3,2018-12-10,album
5kfNriitmkNE8mUbZ7gbq8,6LuN9FCkKOj5PcnpouEgny,28737730-ec70-4da5-89c5-77ac13c5c34d,Khalid,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,76,210666,False,2Qxc2NJ7yPKVFRWi3llRr2,3,2018-10-18,album
4SPu0Ql902hTVXkBoNIYtq,66CXWjxzNUsdJxJ2JdwvnR,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,Ariana Grande,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq,57,182000,False,6sUzNE1SPNLBXBCZs3PIAO,3,2018-02-07,album
4iVVU8DyQvOVsKafv3KWIF,7z2avKuuiMAT4XZJFv8Rvh,84354abd-2ead-48a3-9690-6627d917b605,Tom Walker,https://open.spotify.com/track/4iVVU8DyQvOVsKafv3KWIF,64,185863,False,3Qa0qW4ged1J4HGeLXbFsC,2,2019-03-01,album
0S8DTkU0iMopIw1Uq1nQ49,4Xi6LSfFqv26XgP9NKN26U,b8638bdc-728d-4d43-a908-7be7db29073b,AJ Tracey,https://open.spotify.com/track/0S8DTkU0iMopIw1Uq1nQ49,59,175520,False,0vrKGjXSGcTsxNGxQdXT5p,7,2019-02-08,album
14JzyD6FlBD5z0wV5P07YI,6qqNVTkY8uBg9cP3Jd7DAH,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,Billie Eilish,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,24,199931,False,2DfPdWWXknoGKrfa2Eicyw,1,2018-10-17,single
